,reviews
10,"Everything was perfect, nice staff, great view, great location, TV had Netflix. Great restaurants we’re in walking distance, close walk to a great mall, navy pier was close as well. Really peaceful stay and me and the wife definitely will be back soon"
11,Great place to stay in downtown Chicago. Across from an iconic restaurant and near lake shore drive. The staff was excellent especially Michelle. She went over and above to make sure we were welcome and appreciated. Room was cool and clean. Thank you so much we will be back
12,"The Hotel has an AWFUL customer service, I did my checkout and on my way to the airport I notice I forgot my Apple Watch and reported to a staff member Andrew who the only thing he did was send me link to report the item, which I did and attached a picture of the Find my iPhone show where it was and was easy to find because it receives calls, they refused to check the room while the Apple Watch still had battery, they notify me the next day that they did not find my watch. Let me tell you I’ve stay in not good looking room but staff more customer service related.  The watch disappear even with pictures of location during several hours and it can not be found. Shame. Besides that they only clean your room if you’re out before 8am, forget the experience of vacation waking up later"
13,"Wasn't sure what to expect during this unusual summer, but this place was better than expected. We had a suite, with amazing windows floor to ceiling.  We checked in early a couple of hours without any hassle. Did not try the ""to go""breakfast, but did enjoy the ""happy hour"" wine. Great location on a semi-quiet street. Easy walk to the Riverwalk, Michigan Ave, and Millenium Park. Also, the price for a suite was lower than a standard room at most of the other nice hotels in the area. Also, lady at front desk told us about ""spot hero"" app that saved us $50 on parking. Great deal!"
14,"Its really clean, modern and upscale. Its smaller so it feels like a nice boutique hotel, yet it feels like it has the standard of an amazing high end large hotel chain. I was also surprised that we had a view overlooking a really cool outdoor patio. Its right next to amazing upscale restaurants with outdoor patios. This is a good hotel for tourism, business or anything! They gave us big bottles of wine at check in so that was cool, too!"
15,"My friends and I took a quick trip to Chicago to celebrate my birthday! The Kinzie Hotel was the perfect hotel for all of our needs. The staff was very hospitable, helped my friends surprise me by hiding cake and Party needs. Our accommodations were perfect for our weekend away. We felt very safe and secure given the COVID19 life we all live now. The Kinzie Hotel provides services at your leisure while also reducing risk. Andrew the manager provided a great guide on how to enhance your stay while also feeling like your healthy and safety are priority! Oh & best of all the location is perfect for sight seeing, dining and outdoor experiences ! You won’t be disappointed! The rooms are clean , modern, and provide great Chicago views! Oh and they have a cool photo booth in the lobby"
16,"Amazing. The place was clean, the staff was prompt, the location was in the middle of everything that we needed to get to. I was very grateful for the working crew and positive energy that we were treated with."
17,"I used to stay at another hotel in the area but it was full. I was getting tired of that place anyway because they were overcharging for what should be affordable rooms. I guess I had an Idea of what affordable looked like for near the Loop and expected the same sort of space from Kinzie because the price was close. The room at Kinzie exceeded these expectations; windows, amenities, coffee pods and robust WiFI, but also the desk staff treated me like I was some sort of VIP. The staff immediately read my situation when I arrived (tired, hungry, barely social or communicative) there was some sort of glitch with my reservation because I used an app that was being weird. They were bright and cheerful and made me feel comfortable as they quickly accommodated. I opted to pay for"
18,"We really enjoyed our stay in Chicago, even though it was for a short time. The Kinzie Hotel was very clean, had beautiful views, and great light cancelling shades. Michelle at the front desk was so helpful and welcoming! She is a gem of an employee!"
19,My 35th bday. Amazing Staff Very Professional and Kind. Breakfast section is awesome and healthy choice. Will definitely repeat business here. Thanks Kinzie Hotel. Love the theme lobby as well. Great security after hours too.
20,"My room was small but nice. The bathroom could have been a little cleaner but I'll chalk that up to COVID-19 and social distancing.  I had a view of Kinzie Street as well as the Trump Hotel after I requested a high floor with a view. The staff was very friendly and informative, all except the valet which seem to take at least 30 mins and cost $73 a night which was almost the price of my room! That being said, I had a decent stay in downtown Chicago for a fairly low price!!"
21,This hotel accepted to cancel our reservation without fee due to the current sanitary situation while we had not booked with a cancellation facility. THANK YOU VERY MUCH Kinzie Hotel !! Next time in Chicago we visit you !
22,"My friend booked a room at the Kinzie Hotel for business and decided to have me over for dinner. I went to the front desk to ask if there was water to purchase. Raul Villarreal was very helpful and even gave some recommendations for some things to visit in the area. All in all, his hospitality and warm smile made the stay even that much better. Thanks Raul!"
23,"I just want to take a minute and shout out Raul Villarreal! He was very accommodating and helpful at the front desk, when I had some specific questions about the area. Because of his hospitality alone, I’ll definitely consider rebooking at the Kinzie Hotel."
24,"We have been trying out different boutique hotels in Chicago over the past year or so, and this was one of the nicest we’ve stayed at. We had a corner suite, and it was well laid out, furnished very nicely, floor to ceiling windows with electronic drapes, and very intimate and luxurious. The front desk staff here are stellar at their jobs, especially Lexy and Lupe!! They truly are two of the most friendly and welcoming desk staff I’ve encountered in many years of staying in hotels. Andrew, the GM, also was very welcoming and genuinely wanted our anniversary there to be special. The Kinzie Hotel truly is a “diamond in the rough”, and I highly recommend it for anyone looking for an intimate, well appointed boutique hotel, in a great location, in Chicago. Looking forward to"
25,"Family business required that my wife and I travel to Chicago for the weekend. In spite of the fact that the city is largely shut down, and the hotels that are open are very limited in terms of the amenities they can offer, the Kinzie was such a nice positive experience. Extremely friendly and accommodating staff, great rooms – wonderful floor to ceiling windows with a nice chaise lounge to sit and watch the city rest – great location, great vibe. We will definitely return!"
26,"Our stay at the Kinzie Hotel was absolutely perfect! From the moment we checked in, everything and everyone was incredible. A great location, an exceptionally clean room and friendly, helpful staff make this an obvious choice for anyone traveling to Chicago. Highly recommended!!!"
27,"We have stayed here a number of times when we come to town for Blackhawk games, the theater, or just to get away. The cost, the location, and the friendliness of the staff are exceptional (Mona and Derrick). If you are a walker, it is very easy to  walk to attractions both north and south. The continental breakfast is more than enough to send one out for the day, and the wine/beer in the evening is a plus. Then, too, the discount at the Public House next door is great for a drink or light meal. Parking fees are steep, but they can be reduced by using Spot Hero for nearby parking garages if you don't want to go in and out."
28,We loved our stay st the Kinzie Hotel. Perfect location. Close walk to so much. Rooms are clean and spacious. Fun complimentary hour hour and breakfast. Especially great bellman Derrick in the morning and Alex in the evening. Highly recommend and we've found where we'll stay from now on!
29,"We stayed at the Kinzie hotel from March 2 through March 7. Martin, the hotel manager, went out of his way to accommodate us with our requested room. Service was outstanding from every employee; doorman, housekeeping, front desk, bartender, and even the maintenance person. Location couldn’t be better. I loved the layout of the room with a long desk bar in the bedroom and a full countertop in the bathroom (no lousy non-functional decorative pedestal sinks in this hotel). An empty refrigerator was available in the room, perfect for in room beverages. We’ve stayed here multiple times and look forward to returning. "
30,"Cozy and stylish room! Appreciated the extra things offered in the room, especially for getting ready. LOVED the complimentary happy hour! The only thing I wasn’t a fan of was our view. 😕 Great location to restaurants, bars, music venues, and shopping!"
31,"I've traveled all over the world and stayed at some of the best hotels. I didn't know what to expect when I booked a room at Kinzie Hotel. Not only was my greeting upon arrival and check-in pleasant and easy, the room was modern, clean and pretty cool! Bathroom and fixtures were well done. Strong shower. Ordered room service and had one of the best salads of my life! I admired the pens in the room and upon checkout asked if I could have a couple...the fellow ran out and secured me a few to take with me. Great location and a great stay. I was pleasantly surprised and will recommend Kinzie Hotel to friends and family visiting me in Chicago."
32,"I very much enjoyed my stay at the Kinzie Hotel. From the ""informal"" lobby full of friendly staff to the generous rooms with lots of natural light, this hotel offers a great atmosphere. The continental breakfast and cocktail hour were much better than what is offered in more standard ""chain"" hotels. The location was convenient to meetings I had in the Loop, even walkable in some cases. I highly recommend this option and will definitely return!"
33,"Spent two nights here over the weekend. Excellent location and easy to find. Lovely, friendly staff and a quirky design. Rooms are clean and fresh and the bed was super comfy. Loved the complimentary breakfast and happy hour. Looking forward to returning in April, June, July and September!"
34,"I was greeted by friendly staff, stayed in a very modern and comfortable room, and enjoyed a tasty breakfast the next morning. Other perks were easy check out, text communication with the concierge, and a happy hour for all guests.  Would recommend this hotel to others and will absolutely stay here again."
35,"Great hotel, excellent location. Staff consistently friendly and helpful. Bed comfy. Love the happy hour and free breakfast. Only suggestion would be more choice on room service, with some more healthy options. Will be back in April. Thank you to the wonderful staff."
36,We stayed at the Kinzie for two days for a quick trip. The staff was friendly and very accommodating. Thank you to staff Mona and Derrick for going the extra mile to make our stay great! We will definitely be back.
37,"This hotel was awesome. It’s located in River north close to various bars,clubs,lounge and restaurants. The hotel has great staff. The room was luxurious with all the amenities. I will definitely stay here again."
38,I had a FANTASTIC experience with the front desk attendant Mona and Victor were completely FANTASTIC. The bartender Matt was amazing as well. Great room & Amazing amenities and Beautiful property. Amazing!! I booked the room close to a testing center I had exams at the following day and had a great night rest and was able to walk 5-7 mins to my exams. Thank you to the AWESOME Kinzie Staff for making my night stay WONDERFUL!
39,I went to Chicago for a short girls' trip with my two daughters and cousin.  I can't say enough about how we enjoyed our stay at Hotel Kinzie! We loved how it was so personal. The rooms were wonderful and we felt like the staff was really watching out for us. We felt very safe!  The location couldn't have been better. Located right in the middle of everything on the river downtown. So many things in walking distance. We walked to dinner and a super cool tiki bar the first night. Hit a ping-pong club the second. We would definitely stay there again and recommend to anyone!
40,"Cozy and stylish room! Appreciated the extra things offered in the room, especially for getting ready. LOVED the complimentary happy hour! The only thing I wasn’t a fan of was our view. 😕 Great location to restaurants, bars, music venues, and shopping!"
41,"I've traveled all over the world and stayed at some of the best hotels. I didn't know what to expect when I booked a room at Kinzie Hotel. Not only was my greeting upon arrival and check-in pleasant and easy, the room was modern, clean and pretty cool! Bathroom and fixtures were well done. Strong shower. Ordered room service and had one of the best salads of my life! I admired the pens in the room and upon checkout asked if I could have a couple...the fellow ran out and secured me a few to take with me. Great location and a great stay. I was pleasantly surprised and will recommend Kinzie Hotel to friends and family visiting me in Chicago."
42,"I very much enjoyed my stay at the Kinzie Hotel. From the ""informal"" lobby full of friendly staff to the generous rooms with lots of natural light, this hotel offers a great atmosphere. The continental breakfast and cocktail hour were much better than what is offered in more standard ""chain"" hotels. The location was convenient to meetings I had in the Loop, even walkable in some cases. I highly recommend this option and will definitely return!"
43,"Spent two nights here over the weekend. Excellent location and easy to find. Lovely, friendly staff and a quirky design. Rooms are clean and fresh and the bed was super comfy. Loved the complimentary breakfast and happy hour. Looking forward to returning in April, June, July and September!"
44,"I was greeted by friendly staff, stayed in a very modern and comfortable room, and enjoyed a tasty breakfast the next morning. Other perks were easy check out, text communication with the concierge, and a happy hour for all guests.  Would recommend this hotel to others and will absolutely stay here again."
45,"So it's been a while since my visit and am just now getting around to reviewing, as I just came across my room photos on my phone. Anyhooo, it's a really lovely hotel. Nicely decorated. Very comfortable room. Nice lounge/cocktail hour upstairs. Had an off the street room so no noise issues, but not much in the way of a view. It really was just a great hotel. "
46,"Had the best corner room on the 4th floor! So many windows and the view was really nice! The best past was Spencer at concierge, he was very friendly and personable  and gave us such positive experience I love how they offer a text message service for places to eat and places to go within walking distance which is helpful for people from out of town. Also Derrick at Valet was very friendly and helpful. Thank you for such a great Customer service and we have already told our friends to stay here next time! We hope to be back soon!  -Kristal & Tom H."
47,Room was perfect and very relaxing.  We were sad to miss the managers reception this time but have gone to it several times before.  Greeted warmly by the bell captain and then by the front desk.  The hotel was spotless
48,"We LOVED staying at the Kinzie. The Staff was Exceptional and made the experience so wonderful. We brought our two large dogs. They loved all the attention, the dog beds and houses, the treats, and the toys. They are still wearing their Kinzie bananas a week later. We used the valet for our car and had to trouble the staff with putting away and bringing out our car multiple times so we could drive it to our locations. The Staff always had a smile and never complained. I have been recommending the Kinzie to everyone I meet, telling them to stay there regardless of if they have dogs or not. We will 100% be back to stay next time we visit Chicago. THANK YOU."
49,"Only good things to say about our stay! Great location near great bars, jazz clubs, short walk to Michigan Ave. Loved the nightly happy hour. Room and amenities were awesome and staff were always friendly, greeting us everytime we returned. And on top of all that...great price!! "
50,"Will definitely be back to stay in the Kinzie hotel, from the spacious bedroom to the happy hour we enjoyed all the Kinzie had to offer. It's in an ideal location, with pubs, restaurants and shopping all in walking distance, as is access to all forms of public transport. The staff were friendly and helpful, the text service with reception was useful and included recommendations on things to see and do."
51,"Visited this hotel on Boxing Day for 5 days with my sister to see Chicago and shop. The hotel was very central to everything and we had a great time. The room was lovely, very spacious and clean. Great lounge time each night for 2 hours with wine, beer and snacks. Also continental breakfast good too. The hotel staff were the most friendly amazing people and we will definitely be returning here in the future. This was my first visit but my sisters third, we loved Chicago.  Special thank you to Lexi who was an amazing help when our flight got cancelled, she was so patient and helped us deal with airline, rebook into hotel and also sorted our transfer back to airport. We are so grateful and hope to thank you in person some day.  All the staff were great, brilliant hotel, would"
52,"My 15-year-old daughter and I headed to Chicago the day after Christmas to enjoy the lights on Michigan Avenue and do some shopping. The Kinzie Hotel was perfect for us! So close to Michigan Avenue for walking, and the staff could not be any nicer! This hotel was clean and the staff were so helpful when I had a problem with my reservation. My reservation problem was not the hotel’s fault, it was Booking.com’s error, but the Kinzie staff corrected it for me. I will stay here again!!"
53,"The bride picked this as her base for the wedding so all the bridesmaids and family stayed here and we were treated like royalty.   From check in to check out we were pampered, taken care of and generally loved to death.   The happy hour and breakfast buffets were fun and appreciated. And the rooms were soundproof and large.   We will definitely stay here again - even without the bride!!  Well done, Kinzie! And special thanks to Victor who helped me  get through a couple of rough patches!!"
54,"Booked this hotel for fun romantic getaway and birthday celebration.  Unfortunately our child fell ill at home and we were unable to complete our stay.  The manager would not work with us whatsoever.  Have stayed here several times before but will find somewhere else to patronize in the future.  Love staying in River North, but fortunately there are numerous other options."
55,"So it's been a while since my visit and am just now getting around to reviewing, as I just came across my room photos on my phone. Anyhooo, it's a really lovely hotel. Nicely decorated. Very comfortable room. Nice lounge/cocktail hour upstairs. Had an off the street room so no noise issues, but not much in the way of a view. It really was just a great hotel. "
56,"Had the best corner room on the 4th floor! So many windows and the view was really nice! The best past was Spencer at concierge, he was very friendly and personable  and gave us such positive experience I love how they offer a text message service for places to eat and places to go within walking distance which is helpful for people from out of town. Also Derrick at Valet was very friendly and helpful. Thank you for such a great Customer service and we have already told our friends to stay here next time! We hope to be back soon!  -Kristal & Tom H."
57,Room was perfect and very relaxing.  We were sad to miss the managers reception this time but have gone to it several times before.  Greeted warmly by the bell captain and then by the front desk.  The hotel was spotless
58,"We LOVED staying at the Kinzie. The Staff was Exceptional and made the experience so wonderful. We brought our two large dogs. They loved all the attention, the dog beds and houses, the treats, and the toys. They are still wearing their Kinzie bananas a week later. We used the valet for our car and had to trouble the staff with putting away and bringing out our car multiple times so we could drive it to our locations. The Staff always had a smile and never complained. I have been recommending the Kinzie to everyone I meet, telling them to stay there regardless of if they have dogs or not. We will 100% be back to stay next time we visit Chicago. THANK YOU."
59,"Only good things to say about our stay! Great location near great bars, jazz clubs, short walk to Michigan Ave. Loved the nightly happy hour. Room and amenities were awesome and staff were always friendly, greeting us everytime we returned. And on top of all that...great price!! "
60,"We stayed here last year at around Thanksgiving time.  Even though there is a huge choice of hotels in Chicago, we decided to go back here as we loved it so much last year.  Just as good.  A great breakfast included in the room rate - cereals, porridge, muesli, yoghurts etc. And pastries, doughnuts, rolls, hard boiled eggs.  Coffee, tea etc. They still have the 2 hour happy hour period when you can have complimentary wines and beers in the lounge area - great!  The rooms are a fair size for city rooms - noticed a few scuffs on the walls this year.  Lovely comfortable big bed and complimentary toiletries.  Snacks for sale in the room.  And a fridge to store bits if you wish.  A very good experience once again."
61,"We had a great stay at the Kinzie Hotel this past weekend. Spencer checked us in, and he has a really warm and welcoming way about him. We loved the location, easy walking to so many restaurants! Was really nice to have a little continental breakfast, and evening wine reception. Would stay here again! Thanks to all at the Kenzie!"
62,Kinzie Hotel is a boutiqe hotel. The lobby is small and efficient.  There is an included breakfast room for continental breakfast coffee and tea.  The locaton is convenient.  I walked to the theater district in abourt 10 -15 minutes and then headed the other direction for 1--15 minutes to the Magnificent Mile for shopping. The room was large and clean
63,"The Kinzie hotel staff were welcoming and friendly from the beginning to the end of our 4 night stay. The hotel is close to lots of restaurants (and the Kinzie has lots of deals and coupons for many of them). The hotel is also pretty close to the river walk, some hop on bus locations, and Michigan Avenue!"
64,"Across from Harry Carey’s, AMA building and a Trump Tower/Hotel. Easy walk to magnificent mile and Clark/Lake train depot. Room clean. Nice staff. Resort fee added to nightly rate to cover breakfast/ free evening reception. TF"
65,Just recently got back from Chicago!  Celebrating our 30th anniversary  and stayed at the kinzie hotel!  Just wanted to thank Spencer and his team for making our stay amazing and for welcoming us with champagne!! Loved this hotel very clean comfortable and the staff are very pleasant!  Thank you for making us feel right at home!  Love the wine between 5 and 7 nice touch before dinner!  Breakfast buffet was included and definitely will return one day!
66,"Check in was quick and easy, and we really appreciated the perks of the hotel - it was conveniently located to pretty much everything we wanted to do, complimentary beer/wine/snacks at happy hour, continental breakfast, friendly staff, a bunch of Chicago information in the room, etc.  We were here on a Saturday and Sunday night and even though we were only on the 2nd floor facing the street, it was very quiet and peaceful each time we came back to our room to rest.  Everything was clean and modern, and our regular King room/bathroom was spacious.  Checkout was also easy, no need to stop by the front desk since a receipt was slipped under our door and you can checkout using the TV. We’ll definitely be back soon!"
67,"We were lucky to find this hotel for a 4 day stay for a family occasion!! They have a complimentary breakfast as well as a free Happy Hour every day! Staff are friendly & helpful. Hotel is within walking distance of main avenues, wonderful restaurants & attractions. The concierge found us an awesome Uber driver who took us everywhere during our stay. Rooms were clean & spacious. We would definitely stay there again!!"
68,"We arrived at the hotel late (9 PM) and had an excellent, quick check-in process upon arrival.  We were advised of the ""complimentary"" breakfast in the morning and wine/beer reception at night.  Our room was on the 5th floor, and I panicked when we passed a men's room in the hallway.  I thought I had mistakenly booked us at a communal hotel where we had to share bathrooms.  We entered our room and I immediately felt relief when I saw the bathroom.  Our room was very clean and decently spacious for our brief stay in Chicago.  We slept great, too.    We took advantage of the breakfast one morning and the wine, beer, and snacks one evening.  I'm glad we did, because I got a bill after checkout that charged me a $25/day amenity fee for such things as these ""complimentary"" food and"
69,"One of the best Hotels for the value my wife and I have stayed in. Clean and tastefully decorated rooms,happy hour with all the wine/beer and snacks free of charge from 5-7,breakfast and without a doube one of the better located Hotels in Chicago. We were able to walk to any number of restaurants and shopping areas with ease and safety. The staff : Spencer, George,Victor and a number of others could not be more friendly,helpful and professional. What a great find."
70,"I am very sorry to say that this hotel and its staff does not care at all about the global trash problems. All plates, glasses or tableware they use is all plastic to throw immediately away. All the breakfast servings, EVERYTHING, is plastic to throw away. When asked about it, they just say they are not equipped otherwise and it is perfectly fine to create tons of new waste everyday. It is amazing that a hotel still thinks this way in 2019 - i will never stay here again till they have solved this issue for good. The only way to ask them to change is to show them that people do care about the environment and I will stay at hotels who do work accordingly"
71,"Everything you want in a hotel- clean rooms, helpful staff, free WiFi, free happy hour beers, great breakfast buffet. Super impressed and will definitely be back to stay. Oh yeah, they let you bring dogs too which is awesome"
72,Lovely quiet room. Spotless cleaning. Central location and Great restaurants nearby. Especially Joe’s Seafood prime steak and Crab. All the staff were very helpful and friendly. Will definitely stay at Kinzies hotel next time I visit Chicago. 
73,"The staff, especially Matt and Spencer, were so helpful. The whole experience was wonderful!  I stayed 5 nights this week so was able to try several restaurants  which were an easy walk. Snacks at happy hour were a plus. My traveling companion had a nut allergy but Matt always found her a nonpeanut treat.  Breakfast was nice but pastries seemed dry. I loved the granola and yogurt. I hope to return soon."
74,"I arrived real early at 9 am for the check in. I was so surprised that they were able to let me check in right away without storing the luggage and came back at later time. I was super hungry at that time from catching the 6 am flight from NY (remember the one hour different) When the front desk gentleman Spencer told me that they have the breakfast ready for me on 6th Floor, it simply melt my heart. The next day, since it was the marathon weekend, they specifically prepared a 5 am breakfast for all the runners with bananas, protein bars, Gatorade etc, but not donuts or pastry. After the marathon, in addition to the late check out they provided, they also let me to use their restroom to change and clean up myself. Their service is superb. Front desk is super friendly and"
75,"The rooms are very nice.  Well decorated, and very comfortable bed.   Just a block from the river.   Free continental breakfast and even afternoon snacks.   Like this hotel a lot.   Wifi is fast and good and the staff is very attentive."
76,"The Kinzie was amazing. We stayed 3 days, our concierge Spencer was very friendly and quite knowledgeable about the happenings in Chicago. He had some hook ups to assist us in food lines and gave us updates on where the best places for jazz and food. He even surprised us with a complimentary champagne with a handwritten letter of congratulations. He made the Chicago experience seamless and better. The room was on the 5th floor, we had a corner room that enabled us to see city views and the night lights. I will definitely return to the Kinzie."
77,"The room was clean and comfortable. They offer a Continental Breakfast and a Happy Hour on the 6th floor. Great to grab a bite and coffee in the morning. The Happy Hour was a little too loud for me, but the fact that they offer it, is nice. I was doing work at The Mart, so the location was convenient. Loads of restaurants around within walking distance. Staff was very friendly. Would stay here again."
78,"I have stayed at this hotel a few times over the last 2 years.  It is always a great landing spot; with great service, clean rooms, quiet during evening hours.  The complimentary happy hour is a plus.  Nice sized work out room"
79,I stayed here because of the convenient location. I only spent one night but my room (facing the street) was quiet and comfortable with a vew of Harry Carrays. The price was reasonable for a downtown hotel.
80,"The hotel has its benefits. The biggest ones are the location, polite staff and clean rooms. The pricing is reasonable and it was cheaper than most nearby hotels. I am not giving it 5 stars only because breakfast could be a bit more varied."
81,"Pros:  Great location, big room - clean.  Friendly staff - breakfast bar was small but good and the staff there were mostly friendly.  Cons:  Not soundproof at all - you can see light coming in through the door to the hallway - means it was very loud when there were people in the hall.   They charged our credit card TEN TIMES for the $80 authorization charge.  TEN!  The charges eventually came off the card - but at one point we had $800 US  (and we're canadan) tied up on our card.  That was ridiculous and made me wonder about the security of our card in general."
82,This hotel has a fantastic location and it was very nice. It appears to be a renovated apartment. It was a loft style room. We would stay here again.  Our only complaint was the high priced parking.  Our car was also filthy when it was returned to us. We parked it and left it for 2 full days. 
83,"Excellent location for theatre trips, shopping, and dining. A short cab ride to the hotel from Union Station or an easy walk on a nice day. Nice room but was surprised when we entered that the lobby was actually several floors up. No big deal, just unusual. Would definitely consider staying again."
84,"We loved it here! My husband and I  originally stayed at the Cambria Hotel Loop, the experience wasn’t as great as it was here in Magnificent Mile.  The room here is fantastic,  the size was of the room was huge, organized,  clean, the view is beautiful, overall the hotel is great, made us have a easy experience of seeing Chicago. Our stay was great because of one person here most. We need more people like Ms. Elizabeth  Massey, she works as a receptionist here,  she is so sweet, friendly and extremely nice, she is the one that made sure we had the best time, and was comfortable, she helped us with everything, very hard worker. Having good staff like her that goes above and beyond  is the reason that makes this hotel special compared to other hotels. We will definitely return to"
85,"Unprofessional staff. So many things to name that went wrong & that were handled incorrectly. They charged the wrong credit card. The dresser in our room was missing drawers, we did not have a remote to the tv, only one elevator working in the hotel, people were picketing outside of the hotel the entire weekend, they charged me $62 a day for parking when I was supposed to have the $25 per day parking package, I called the hotel on 4 different occasions before the arrival and not one note was put on my reservation!!! That is what Hector said anyway!! I have names and dates of every time I called & person I spoke to. NOT ONE NOTE ADDED!! Was charged $9.95 a day for a service fee. WHAT SERVICE FEE??? This hotel did nothing to service my family. It was a mess from the start. I even"
86,Had to Cancel a trip due to my Mother becoming extremely sick and dying !! Asked hotel for a refund Hotel said tuff luck !! Don’t want to stay at a hotel that is only interested in profit and not accommodating guest when they have an issue !!
87,"Excellent location, staff was amazing would do anything to make your stay enjoyable!  We Would highly recommend!  The bloody Mary’s were awesome. Our room  was very clean!  Yes picketers outside did not affect our stay 1 bit"
88,Our experience with the hotel was in generally nice. We stayed 3 nights in a king room.  Will brief as follows :  🌷Room was spacious and clean. 🌷Bathroom was clean with a bathtub. No separate shower space. 🌷Bed was a few steps below the entrance so make sure to pick a correct room set up for your needs as they have many options. 🌷Coffee machine available.  🌷Safe available 🌷Free wifi 🌷Closet space was a bit small or am I an over packer 🤔🤔  Over the stay was great and relaxing.  🌷Elevators were only 2 for the higher level but it was OK.  🌷Strike is still ongoing in small numbers and is not bothering anyone    
89,"My husband and I stayed here during our recent visit to Chicago.  The property is located on the Magnificent Mile and is VERY conveniently located near upscale shopping and numerous quality restaurants.  If you are up to a longer walk, you can walk to the train as well.  Check-in was fairly easy and the staff were very friendly.  When we checked out, the front desk people were not as friendly.  This might've been because hotel employees were picketing the front of the hotel.  The picketers were apparently in a wage dispute with this hotel; had we known the hotel was being picketed, we would not have stayed there.  When we arrived, there was no picket line; the next morning, they were there.  The picketers made no attempt to enter the hotel and didn't try to keep us from coming"
90,"We stayed here for two nights mid November 2019.  We requested an early check in along with a late checkout and the staff was more than accommodating!  We received a voucher for the hotel bar which was an added plus.  The room was nice, big and clean.  Would stay at again"
91,The hotel is in a very convenient location to all the Mag Mile shops. Lobby was small but updated and clean. Rooms large and also clean. Shower had little to no hot water the entire weekend which was disappointing and we were charged a $20 resort fee which I found odd since there were no extra perks and we didn’t use WiFi. 
92,"I stayed 2 nights in a King Suite for a girls' trip. Check in was easy and pleasant, and I appreciated the offer the Cambria has to go green. If you opt not to have housekeeping come every day, you're offered a credit to use at the bar/coffee shop in the hotel. My room was very clean, comfortable and spacious. The showers are quite narrow, so if that's an issue for you a room with a tub might be better. The location is very convenient to shopping along the Magnificent Mile. Parking at the hotel is pricey, however. I recommend reserving a spot in the Olympia Centre garage one block over. You still get in and out privileges, but it's $25 cheaper. I would definitely stay in this hotel again on a future visit to Chicago."
